,non_given_dims,beta,rgb_supervise,rgb_weak_supervise_prop,rgb_temp_beta,rgb_lambda,adversarial_supervise,adversarial_lambda,adversarial_target_language,encoder_class,color_metric_mean,color_metric_std,deltae,issm,psnr,rmse,sam,sre,ssim1,issm1,psnr1,rmse1,sam1,sre1
139,5,1.0,1,0.25,0.9,20,0,30,1,1,90.23703779872986,6.274729288935045,99.78980509276484,0.0,50.4083909,0.00343051111,89.9306717,56.1895023,0.990274709,0.0,52.3365837,0.00290362442,89.8321028,55.6640756
185,5,1.0,1,0.25,0.98,1,0,20,1,1,90.16146089763728,7.56125285368007,99.83848255017159,0.0,50.2268048,0.00348793961,89.9315374,56.0437279,0.989721851,0.0,52.0551908,0.00299069205,89.8197484,55.5239282
173,5,1.0,1,0.25,0.98,1,0,30,1,1,89.4557191339212,7.95562595970998,99.771565793999,0.0,49.2915174,0.00383973858,89.9088462,55.5910059,0.988236288,0.0,51.1318537,0.00329981776,89.76868,55.0506826
210,5,1.0,1,0.25,0.98,5,0,20,1,1,90.91542236614968,6.640038276999516,99.79483542475634,0.0,50.1805751,0.00350533929,89.9266662,55.9822945,0.989881931,0.0,52.1150435,0.00296792355,89.8292169,55.5476199
293,5,1.0,1,0.25,0.98,5,0,30,1,1,90.37115455072724,7.418360583576038,99.7758367822374,0.0,50.1251011,0.00355265,89.9284321,55.9303964,0.989465105,0.0,51.9654211,0.00303392241,89.7883274,55.4570211
268,5,1.0,1,0.25,0.98,10,0,20,1,1,90.10328933416108,6.309393286256103,99.8354172094442,0.0,50.2241919,0.00351145121,89.9235766,56.0309087,0.989636551,0.0,52.2161998,0.00298715664,89.7737098,55.6075834
251,5,1.0,1,0.25,0.98,10,0,30,1,1,89.52706218412675,7.276299711602157,99.84200720043395,0.0,49.8844127,0.00362290373,89.9134433,55.8949604,0.989108011,0.0,51.8031395,0.00309456627,89.8299495,55.3880935
147,5,1.0,1,0.25,0.98,20,0,20,1,1,89.72305891205852,7.172956317213417,99.8400487262091,0.0,50.1325822,0.00351536188,89.9331967,55.8719051,0.989859289,0.0,51.9403101,0.00300595273,89.8197687,55.4579703
322,5,1.0,1,0.25,0.98,20,0,30,1,1,88.29522839549978,7.368274244976174,99.8009165306152,0.0,49.9309887,0.00359890704,89.924944,55.8057285,0.989302294,0.0,51.7210567,0.00308834988,89.8107504,55.3389827
242,5,1.0,1,0.25,0.99,1,0,20,1,1,90.08241524145502,6.588010835762311,99.80243014219367,0.0,49.8660997,0.0036571715,89.9180992,55.8722675,0.988835459,0.0,51.6920006,0.00314158586,89.8043628,55.338163
99,5,1.0,1,0.25,0.99,1,0,30,1,1,89.22591668116232,6.37250035947351,99.79493399339047,0.0,50.0575994,0.00355300409,89.922742,55.8818254,0.98976616,0.0,52.0072854,0.00301047322,89.827054,55.4848671
224,5,1.0,1,0.25,0.99,5,0,20,1,1,89.81696833298636,7.668472389302922,99.81830075823636,0.0,49.9047691,0.00362940839,89.9269239,55.965862,0.989102596,0.0,51.810864,0.00309904144,89.836455,55.3886843
172,5,1.0,1,0.25,0.99,5,0,30,1,1,89.78290657982768,7.165768019847191,99.83262254908878,0.0,50.1095045,0.00354451951,89.9102722,55.8746032,0.989525649,0.0,51.9947225,0.00301887511,89.8130884,55.4784289
291,5,1.0,1,0.25,0.99,10,0,20,1,1,88.83997103834113,6.685862781730524,99.7929195288686,0.0,49.9840762,0.00363976043,89.9185979,55.797489,0.988980012,0.0,51.9013009,0.00310127935,89.7805756,55.4273044
131,5,1.0,1,0.25,0.99,10,0,30,1,1,89.85167592302753,6.674970590565285,99.82309165333552,0.0,50.2085752,0.00352828534,89.9188932,55.9378788,0.989585918,0.0,52.009427,0.00303346934,89.7942561,55.4923356
162,5,1.0,1,0.25,0.99,20,0,20,1,1,90.02418346578659,6.680187252277457,99.84534447789278,0.0,49.9837988,0.00359678984,89.9153963,55.9759644,0.989351138,0.0,51.9036549,0.00305505099,89.8180168,55.4500488
161,5,1.0,1,0.25,0.99,20,0,30,1,1,91.06536010279744,6.023944637644802,99.84627142982522,0.0,49.9872892,0.00358917314,89.9324557,55.9275397,0.989378304,0.0,51.8965373,0.00304899327,89.8309158,55.4338705
278,5,1.0,1,0.4,0.9,1,0,20,1,1,90.77638994354636,7.350182591546673,99.79839287326865,0.0,50.1728061,0.00353035058,89.9210182,56.0748023,0.989627141,0.0,51.9654252,0.00301829324,89.8219385,55.4553614
137,5,1.0,1,0.4,0.9,1,0,30,1,1,90.16075003484404,7.347728142823695,99.80066735484266,0.0,50.5847892,0.0033589449,89.9248665,56.2606368,0.990392126,0.0,52.3665312,0.0028863553,89.8234923,55.6761458
177,5,1.0,1,0.4,0.9,5,0,20,1,1,90.51723133455404,6.563730484740669,99.80631588882353,0.0,50.2992494,0.00349831163,89.9140559,56.2085245,0.989806322,0.0,52.2899019,0.00297159579,89.7863218,55.6462038
106,5,1.0,1,0.4,0.9,5,0,30,1,1,90.17792130723662,6.02858953429848,99.77008576224424,0.0,50.3449811,0.00344937443,89.9285483,56.0182645,0.990077603,0.0,52.2341718,0.00293399513,89.7972782,55.6084771
264,5,1.0,1,0.4,0.9,10,0,20,1,1,90.70516303533697,6.332362612631241,99.77231597124113,0.0,50.2961869,0.00348629227,89.9216837,56.031732,0.989599761,0.0,52.0733357,0.00301016909,89.8101674,55.508292
208,5,1.0,1,0.4,0.9,10,0,30,1,1,90.67590741551132,5.94887122451557,99.80901360799334,0.0,50.4609011,0.00338646034,89.9275496,56.1699071,0.990509377,0.0,52.4602255,0.00286619963,89.8118672,55.7275355
233,5,1.0,1,0.4,0.9,20,0,20,1,1,91.14904941103224,6.874060108739154,99.80146112474705,0.0,50.5281331,0.0033945894,89.9216506,56.23837,0.990178294,0.0,52.4180045,0.00290505134,89.7940196,55.7069009
296,5,1.0,1,0.4,0.9,20,0,30,1,1,90.64280830865586,6.57764716181535,99.78946420071343,0.0,50.6392468,0.00333621775,89.9242612,56.1573373,0.990639581,0.0,52.6146438,0.00282929248,89.7488552,55.8002764
98,5,1.0,1,0.4,0.98,1,0,20,1,1,90.08824106020606,6.2714406496488095,99.78683840897222,0.0,49.82965,0.00362724717,89.9171585,55.7464598,0.989207527,0.0,51.670435,0.00309537251,89.8076826,55.3108262
